序号,关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,是否零点击词,CPC,浏览深度,异常标记
378,1316,495403620,9628223555,45.15,213,54,1.0,112,0,0.212,0.2535,浏览<点击
379,1318,495403620,9628223555,1364.38,1278,1396,0.8394,130,0,1.0676,1.0923,
380,1327,495403620,9628223555,1.34,1,1,1.0,6,0,1.34,1.0,
381,1332,495403620,9628223555,7.5,5,6,0.6667,175,0,1.5,1.2,
382,1339,495403620,9628223555,1.29,1,1,1.0,11,0,1.29,1.0,
383,1354,495403620,9628223555,0.0,0,0,,,1,,,
384,1373,495403620,9628223555,0.49,1,1,1.0,15,0,0.49,1.0,
385,1439,495403620,9628223555,5.2,9,3,0.5,99,0,0.5778,0.3333,浏览<点击
386,1447,495403620,9628223555,0.0,0,0,,,1,,,
387,1465,495403620,9628223555,0.97,1,6,0.0,214,0,0.97,6.0,
388,1475,495403620,9628223555,0.64,1,1,1.0,120,0,0.64,1.0,
389,1506,495403620,9628223555,0.0,0,0,,,1,,,
390,1513,495403620,9628223555,33.69,23,25,0.9474,59,0,1.4648,1.087,
391,1531,495403620,9628223555,3.87,9,16,0.5714,63,0,0.43,1.7778,
392,1575,495403620,9628223555,0.0,0,0,,,1,,,
393,1621,495403620,9628223555,0.0,0,0,,,1,,,
394,1647,495403620,9628223555,1.1,1,0,0.0,0,0,1.1,0.0,浏览<点击
395,1655,495403620,9628223555,968.54,714,783,0.8632,105,0,1.3565,1.0966,
396,1660,495403620,9628223555,0.0,0,0,,,1,,,
397,1666,495403620,9628223555,16.26,12,31,0.5,160,0,1.355,2.5833,
398,1676,495403620,9628223555,270.03,159,450,0.75,199,0,1.6983,2.8302,
399,1683,495403620,9628223555,0.0,0,0,,,1,,,
400,1715,495403620,9628223555,0.0,0,0,,,1,,,
401,1719,495403620,9628223555,5.28,6,5,1.0,79,0,0.88,0.8333,浏览<点击
402,1735,495403620,9628223555,62.35,65,76,0.8718,170,0,0.9592,1.1692,
403,1752,495403620,9628223555,4.32,2,9,0.5,291,0,2.16,4.5,
404,1757,495403620,9628223555,0.0,0,0,,,1,,,
405,1764,495403620,9628223555,12.51,20,178,0.2727,582,0,0.6255,8.9,
406,1777,495403620,9628223555,0.0,0,0,,,1,,,
407,1802,495403620,9628223555,217.36,110,329,0.5875,326,0,1.976,2.9909,
408,1846,495403620,9628223555,0.0,0,0,,,1,,,
409,1921,495403620,9628223555,1.63,1,1,1.0,22,0,1.63,1.0,
410,1978,495403620,9628223555,0.0,0,0,,,1,,,
411,2004,495403620,9628223555,0.0,0,0,,,1,,,
412,2006,495403620,9628223555,4.41,2,2,1.0,63,0,2.205,1.0,
413,2021,495403620,9628223555,0.0,0,0,,,1,,,
414,2043,495403620,9628223555,1.63,2,0,0.0,0,0,0.815,0.0,浏览<点击
415,2072,495403620,9628223555,0.0,0,0,,,1,,,
416,2079,495403620,9628223555,0.0,0,0,,,1,,,
417,2084,495403620,9628223555,0.0,0,0,,,1,,,
418,2093,495403620,9628223555,2.33,2,2,1.0,6,0,1.165,1.0,
419,2111,495403620,9628223555,0.0,0,0,,,1,,,
420,2113,495403620,9628223555,32.61,32,38,0.875,145,0,1.0191,1.1875,
421,2127,495403620,9628223555,0.0,0,0,,,1,,,
422,2176,495403620,9628223555,17.75,10,27,0.6667,376,0,1.775,2.7,
423,2178,495403620,9628223555,1.35,4,1,1.0,120,0,0.3375,0.25,浏览<点击
424,2186,495403620,9628223555,2.48,3,3,1.0,10,0,0.8267,1.0,
425,2188,495403620,9628223555,5.13,3,3,1.0,10,0,1.71,1.0,
426,2226,495403620,9628223555,43.74,46,78,0.7714,178,0,0.9509,1.6957,
427,2234,495403620,9628223555,0.0,0,0,,,1,,,
428,2351,495403620,9628223555,42.25,28,34,0.8182,47,0,1.5089,1.2143,
429,2354,495403620,9628223555,2.88,2,81,0.0,1618,0,1.44,40.5,
430,2370,495403620,9628223555,1.26,1,1,1.0,3,0,1.26,1.0,
431,2371,495403620,9628223555,0.0,0,0,,,1,,,
432,2424,495403620,9628223555,0.0,0,0,,,1,,,
433,2432,495403620,9628223555,3.85,3,4,1.0,38,0,1.2833,1.3333,
434,2441,495403620,9628223555,0.0,0,0,,,1,,,
435,2525,495403620,9628223555,13.42,12,10,1.0,30,0,1.1183,0.8333,浏览<点击
436,2534,495403620,9628223555,6.02,7,6,1.0,53,0,0.86,0.8571,浏览<点击
437,2541,495403620,9628223555,21686.91,29926,87461,0.4974,328,0,0.7247,2.9226,
438,2547,495403620,9628223555,2.17,2,2,1.0,3,0,1.085,1.0,
439,2551,495403620,9628223555,2.83,2,16,0.5,276,0,1.415,8.0,
440,2555,495403620,9628223555,0.0,0,0,,,1,,,
441,2579,495403620,9628223555,41.09,33,51,0.9,55,0,1.2452,1.5455,
442,2584,495403620,9628223555,115.98,262,182,0.9412,39,0,0.4427,0.6947,浏览<点击
443,2602,495403620,9628223555,14.01,10,9,0.7143,10,0,1.401,0.9,浏览<点击
444,2633,495403620,9628223555,60.22,42,105,0.7576,252,0,1.4338,2.5,
445,2678,495403620,9628223555,0.0,0,0,,,1,,,
446,2682,495403620,9628223555,6.07,4,26,0.25,888,0,1.5175,6.5,
447,2690,495403620,9628223555,5.24,9,8,1.0,48,0,0.5822,0.8889,浏览<点击
448,2703,495403620,9628223555,0.0,0,0,,,1,,,
449,2717,495403620,9628223555,0.0,0,0,,,1,,,
450,2723,495403620,9628223555,340.06,332,721,0.7402,206,0,1.0243,2.1717,
451,2738,495403620,9628223555,2.73,2,2,1.0,120,0,1.365,1.0,
452,2742,495403620,9628223555,0.0,0,0,,,1,,,
453,2748,495403620,9628223555,43.02,39,182,0.6,347,0,1.1031,4.6667,
454,2775,495403620,9628223555,0.0,0,0,,,1,,,
455,2780,495403620,9628223555,95.7,65,179,0.7119,195,0,1.4723,2.7538,
456,2795,495403620,9628223555,3.49,4,4,1.0,85,0,0.8725,1.0,
457,2813,495403620,9628223555,5.37,11,3,1.0,51,0,0.4882,0.2727,浏览<点击
458,2834,495403620,9628223555,1.88,1,1,1.0,4,0,1.88,1.0,
459,2843,495403620,9628223555,150.65,108,141,0.814,123,0,1.3949,1.3056,
460,2854,495403620,9628223555,4.83,6,5,1.0,57,0,0.805,0.8333,浏览<点击
461,2855,495403620,9628223555,15.1,18,15,1.0,120,0,0.8389,0.8333,浏览<点击
462,2874,495403620,9628223555,5435.94,1915,10266,0.3591,411,0,2.8386,5.3608,
463,2890,495403620,9628223555,6.51,6,19,0.8,48,0,1.085,3.1667,
464,2919,495403620,9628223555,8.23,13,15,0.8182,235,0,0.6331,1.1538,
465,2936,495403620,9628223555,0.0,0,0,,,1,,,
466,2955,495403620,9628223555,3.09,3,3,1.0,3,0,1.03,1.0,
467,2993,495403620,9628223555,22.18,15,23,0.8462,328,0,1.4787,1.5333,
468,2996,495403620,9628223555,74.77,50,316,0.2692,487,0,1.4954,6.32,
469,2997,495403620,9628223555,184.97,118,214,0.7664,108,0,1.5675,1.8136,
470,3008,495403620,9628223555,45.41,54,204,0.6042,319,0,0.8409,3.7778,
471,3060,495403620,9628223555,0.0,0,0,,,1,,,
472,3064,495403620,9628223555,13.2,15,16,0.9,60,0,0.88,1.0667,
473,3070,495403620,9628223555,9.57,8,14,0.6,61,0,1.1962,1.75,
474,3093,495403620,9628223555,0.32,1,0,0.0,0,0,0.32,0.0,浏览<点击
475,3135,495403620,9628223555,2.7,2,22,0.5,1001,0,1.35,11.0,
476,3153,495403620,9628223555,0.72,1,1,1.0,120,0,0.72,1.0,
477,3165,495403620,9628223555,53.44,53,64,0.875,128,0,1.0083,1.2075,
478,3175,495403620,9628223555,0.0,0,0,,,1,,,
479,3195,495403620,9628223555,0.0,0,0,,,1,,,
480,3201,495403620,9628223555,0.0,0,0,,,1,,,
481,3222,495403620,9628223555,1.65,1,1,1.0,2,0,1.65,1.0,
482,3275,495403620,9628223555,0.0,0,0,,,1,,,
483,3327,495403620,9628223555,22.08,13,59,0.7,539,0,1.6985,4.5385,
484,3352,495403620,9628223555,37.67,27,27,0.9524,122,0,1.3952,1.0,
485,3353,495403620,9628223555,0.8,1,1,1.0,0,0,0.8,1.0,
486,3374,495403620,9628223555,2398.88,445,3848,0.2606,480,0,5.3907,8.6472,
487,3379,495403620,9628223555,31.79,21,74,0.65,369,0,1.5138,3.5238,
488,3382,495403620,9628223555,1533.0,276,1485,0.4779,384,0,5.5543,5.3804,
489,3386,495403620,9628223555,0.0,0,0,,,1,,,
490,3393,495403620,9628223555,298.34,124,269,0.7182,103,0,2.406,2.1694,
491,3416,495403620,9628223555,4.17,3,2,1.0,120,0,1.39,0.6667,浏览<点击
492,3417,495403620,9628223555,6.95,6,10,0.6,33,0,1.1583,1.6667,
493,3445,495403620,9628223555,0.0,0,0,,,1,,,
494,3451,495403620,9628223555,2.63,3,3,0.5,14,0,0.8767,1.0,
495,3481,495403620,9628223555,0.0,0,1,,,1,,,零点击有浏览
496,3548,495403620,9628223555,11.61,15,23,0.9167,279,0,0.774,1.5333,
497,3567,495403620,9628223555,1.35,2,2,1.0,25,0,0.675,1.0,
498,3575,495403620,9628223555,160.27,44,142,0.5,370,0,3.6425,3.2273,
499,3579,495403620,9628223555,0.0,0,0,,,1,,,
500,3653,495403620,9628223555,0.0,0,0,,,1,,,
501,3659,495403620,9628223555,5.77,7,6,1.0,184,0,0.8243,0.8571,浏览<点击
502,3677,495403620,9628223555,6.93,10,9,1.0,44,0,0.693,0.9,浏览<点击
503,3720,495403620,9628223555,0.0,0,0,,,1,,,
504,3769,495403620,9628223555,1.24,3,3,1.0,3,0,0.4133,1.0,
505,3922,495403620,9628223555,2.35,2,2,1.0,25,0,1.175,1.0,
506,3923,495403620,9628223555,14.78,15,143,0.4286,930,0,0.9853,9.5333,
507,3924,495403620,9628223555,0.0,0,0,,,1,,,
508,3949,495403620,9628223555,0.0,0,0,,,1,,,
509,3951,495403620,9628223555,0.0,0,0,,,1,,,
510,3962,495403620,9628223555,8.52,6,6,1.0,44,0,1.42,1.0,
511,3973,495403620,9628223555,4.8,7,35,0.8,77,0,0.6857,5.0,
512,3989,495403620,9628223555,106.06,63,407,0.4483,394,0,1.6835,6.4603,
513,3991,495403620,9628223555,0.0,0,0,,,1,,,
514,4001,495403620,9628223555,0.0,0,0,,,1,,,
515,4002,495403620,9628223555,26.24,17,59,0.75,288,0,1.5435,3.4706,
516,4016,495403620,9628223555,48.68,27,55,0.6522,172,0,1.803,2.037,
517,4020,495403620,9628223555,0.0,0,0,,,1,,,
518,4046,495403620,9628223555,21.51,20,28,0.8235,55,0,1.0755,1.4,
519,4047,495403620,9628223555,50.95,36,52,0.7778,326,0,1.4153,1.4444,
520,4052,495403620,9628223555,1.19,1,1,1.0,9,0,1.19,1.0,
521,4141,495403620,9628223555,0.0,0,0,,,1,,,
522,4158,495403620,9628223555,36.54,28,49,0.92,98,0,1.305,1.75,
523,4163,495403620,9628223555,0.49,2,2,1.0,1,0,0.245,1.0,
524,4165,495403620,9628223555,36.37,33,30,0.8095,153,0,1.1021,0.9091,浏览<点击
525,4171,495403620,9628223555,1.68,2,1,1.0,8,0,0.84,0.5,浏览<点击
526,4188,495403620,9628223555,1533.24,434,1683,0.5805,286,0,3.5328,3.8779,
527,4189,495403620,9628223555,19.42,15,28,0.6667,57,0,1.2947,1.8667,
528,4251,495403620,9628223555,1.23,1,0,0.0,0,0,1.23,0.0,浏览<点击
529,4310,495403620,9628223555,0.0,0,0,,,1,,,
530,4321,495403620,9628223555,89.22,64,291,0.566,525,0,1.3941,4.5469,
531,4331,495403620,9628223555,16.86,15,9,1.0,48,0,1.124,0.6,浏览<点击
532,4388,495403620,9628223555,8.28,9,5,1.0,32,0,0.92,0.5556,浏览<点击
533,4422,495403620,9628223555,5.1,4,31,0.6,1425,0,1.275,7.75,
534,4454,495403620,9628223555,0.0,0,0,,,1,,,
535,4463,495403620,9628223555,0.0,0,0,,,1,,,
536,4479,495403620,9628223555,7.22,8,6,1.0,52,0,0.9025,0.75,浏览<点击
537,4480,495403620,9628223555,21.87,15,12,0.9091,34,0,1.458,0.8,浏览<点击
538,4498,495403620,9628223555,3.53,2,2,1.0,120,0,1.765,1.0,
539,4504,495403620,9628223555,0.0,0,0,,,1,,,
540,4505,495403620,9628223555,0.0,0,0,,,1,,,
541,4529,495403620,9628223555,1.62,2,2,1.0,2,0,0.81,1.0,
542,4541,495403620,9628223555,0.0,0,0,,,1,,,
543,4545,495403620,9628223555,0.0,0,0,,,1,,,
544,4558,495403620,9628223555,0.0,0,0,,,1,,,
545,4560,495403620,9628223555,15.29,8,17,0.6667,121,0,1.9112,2.125,
546,4581,495403620,9628223555,3.58,2,2,1.0,63,0,1.79,1.0,
547,4594,495403620,9628223555,20.64,30,24,1.0,40,0,0.688,0.8,浏览<点击
548,4613,495403620,9628223555,5.38,5,3,1.0,80,0,1.076,0.6,浏览<点击
549,4634,495403620,9628223555,375.36,121,502,0.5534,438,0,3.1021,4.1488,
550,4637,495403620,9628223555,5.75,11,9,1.0,54,0,0.5227,0.8182,浏览<点击
551,4706,495403620,9628223555,6.41,11,14,0.8889,94,0,0.5827,1.2727,
552,4717,495403620,9628223555,1.77,3,3,1.0,15,0,0.59,1.0,
553,4718,495403620,9628223555,0.0,0,0,,,1,,,
554,4760,495403620,9628223555,0.0,0,0,,,1,,,
555,4762,495403620,9628223555,0.97,2,1,1.0,2,0,0.485,0.5,浏览<点击
556,4828,495403620,9628223555,11.05,8,22,0.5,199,0,1.3812,2.75,
557,4832,495403620,9628223555,0.0,0,0,,,1,,,
558,4854,495403620,9628223555,0.0,0,0,,,1,,,
559,4865,495403620,9628223555,61.99,63,65,0.84,64,0,0.984,1.0317,
560,4888,495403620,9628223555,33.02,26,57,0.7083,202,0,1.27,2.1923,
561,4914,495403620,9628223555,2.05,2,2,1.0,92,0,1.025,1.0,
562,4927,495403620,9628223555,22.07,17,23,0.8,61,0,1.2982,1.3529,
563,4931,495403620,9628223555,0.81,2,1,1.0,1,0,0.405,0.5,浏览<点击
564,4935,495403620,9628223555,10.31,11,8,1.0,33,0,0.9373,0.7273,浏览<点击
565,4949,495403620,9628223555,21.56,17,16,0.9286,59,0,1.2682,0.9412,浏览<点击
566,4960,495403620,9628223555,10.94,15,15,0.7273,46,0,0.7293,1.0,
567,5031,495403620,9628223555,0.0,0,0,,,1,,,
568,5035,495403620,9628223555,66.79,41,39,0.9167,104,0,1.629,0.9512,浏览<点击
569,5038,495403620,9628223555,0.0,0,0,,,1,,,
570,5064,495403620,9628223555,1.33,3,3,1.0,43,0,0.4433,1.0,
571,5111,495403620,9628223555,0.0,0,0,,,1,,,
572,5126,495403620,9628223555,10.69,12,8,1.0,21,0,0.8908,0.6667,浏览<点击
573,5163,495403620,9628223555,2.85,4,3,1.0,3,0,0.7125,0.75,浏览<点击
574,5197,495403620,9628223555,0.0,0,0,,,1,,,
575,5199,495403620,9628223555,0.0,0,0,,,1,,,
576,5229,495403620,9628223555,28.35,51,38,1.0,54,0,0.5559,0.7451,浏览<点击
577,5249,495403620,9628223555,371.71,111,99,0.9457,71,0,3.3487,0.8919,浏览<点击
578,5259,495403620,9628223555,0.0,0,0,,,1,,,
579,5306,495403620,9628223555,13.59,17,10,0.8889,66,0,0.7994,0.5882,浏览<点击
580,5313,495403620,9628223555,11.64,18,32,0.7857,171,0,0.6467,1.7778,
581,5314,495403620,9628223555,0.29,1,1,1.0,0,0,0.29,1.0,
582,5395,495403620,9628223555,1.19,1,0,0.0,0,0,1.19,0.0,浏览<点击
583,5406,495403620,9628223555,6.44,8,5,1.0,77,0,0.805,0.625,浏览<点击
584,5436,495403620,9628223555,17.1,13,31,0.4545,297,0,1.3154,2.3846,
585,5438,495403620,9628223555,0.0,0,0,,,1,,,
586,5455,495403620,9628223555,0.0,0,0,,,1,,,
587,5460,495403620,9628223555,0.0,0,0,,,1,,,
588,5467,495403620,9628223555,9.29,9,7,1.0,36,0,1.0322,0.7778,浏览<点击
589,5486,495403620,9628223555,0.0,0,0,,,1,,,
590,5495,495403620,9628223555,1.56,9,18,0.625,174,0,0.1733,2.0,
591,5501,495403620,9628223555,0.0,0,0,,,1,,,
592,5508,495403620,9628223555,1.4,1,0,0.0,0,0,1.4,0.0,浏览<点击
593,5534,495403620,9628223555,0.1,1,0,0.0,0,0,0.1,0.0,浏览<点击
594,5546,495403620,9628223555,0.0,0,0,,,1,,,
595,5549,495403620,9628223555,3.05,3,3,1.0,2,0,1.0167,1.0,
596,5576,495403620,9628223555,0.0,0,0,,,1,,,
597,5588,495403620,9628223555,1.37,2,1,1.0,3,0,0.685,0.5,浏览<点击
598,5622,495403620,9628223555,0.0,0,0,,,1,,,
599,5629,495403620,9628223555,1.1,1,0,0.0,0,0,1.1,0.0,浏览<点击
600,5643,495403620,9628223555,5.44,3,3,1.0,3,0,1.8133,1.0,
601,5655,495403620,9628223555,0.0,0,0,,,1,,,
602,5661,495403620,9628223555,33.08,29,27,0.8947,100,0,1.1407,0.931,浏览<点击
603,5671,495403620,9628223555,0.0,0,0,,,1,,,
604,5672,495403620,9628223555,0.0,0,0,,,1,,,
605,5683,495403620,9628223555,0.0,0,0,,,1,,,
606,5696,495403620,9628223555,54.85,41,39,0.9375,76,0,1.3378,0.9512,浏览<点击
607,5702,495403620,9628223555,22.93,16,40,0.8182,77,0,1.4331,2.5,
608,5703,495403620,9628223555,2433.25,464,1009,0.7268,229,0,5.2441,2.1746,
609,5705,495403620,9628223555,134.41,26,101,0.56,209,0,5.1696,3.8846,
610,5721,495403620,9628223555,20.77,18,25,0.9444,150,0,1.1539,1.3889,
611,5767,495403620,9628223555,10.18,6,8,0.8571,23,0,1.6967,1.3333,
612,5779,495403620,9628223555,15.29,14,9,1.0,19,0,1.0921,0.6429,浏览<点击
613,5795,495403620,9628223555,31.96,31,30,0.9231,119,0,1.031,0.9677,浏览<点击
614,5862,495403620,9628223555,5.94,8,5,1.0,33,0,0.7425,0.625,浏览<点击
615,5888,495403620,9628223555,1.8,1,1,1.0,1,0,1.8,1.0,
616,5911,495403620,9628223555,29.26,17,100,0.4375,335,0,1.7212,5.8824,
617,5912,495403620,9628223555,2.7,4,36,0.25,315,0,0.675,9.0,
618,5917,495403620,9628223555,0.0,0,0,,,1,,,
619,5921,495403620,9628223555,11.58,11,11,0.8333,44,0,1.0527,1.0,
620,5945,495403620,9628223555,0.0,0,0,,,1,,,
621,5964,495403620,9628223555,1774.21,550,790,0.8364,111,0,3.2258,1.4364,
622,5987,495403620,9628223555,0.0,0,0,,,1,,,
623,6017,495403620,9628223555,4.12,4,7,0.6667,517,0,1.03,1.75,
624,6027,495403620,9628223555,501.74,66,512,0.25,720,0,7.6021,7.7576,
625,6028,495403620,9628223555,4.42,3,4,0.5,43,0,1.4733,1.3333,
626,6039,495403620,9628223555,2.31,5,3,1.0,6,0,0.462,0.6,浏览<点击
627,6093,495403620,9628223555,6.74,3,7,0.6667,652,0,2.2467,2.3333,
628,6106,495403620,9628223555,1.1,3,9,0.0,47,0,0.3667,3.0,
629,6149,495403620,9628223555,60.82,89,25,0.9091,171,0,0.6834,0.2809,浏览<点击
630,6152,495403620,9628223555,7.16,9,8,1.0,33,0,0.7956,0.8889,浏览<点击
631,6157,495403620,9628223555,4.06,3,8,0.6667,72,0,1.3533,2.6667,
632,6159,495403620,9628223555,43.15,13,43,0.75,41,0,3.3192,3.3077,
633,6162,495403620,9628223555,0.0,0,0,,,1,,,
634,6164,495403620,9628223555,0.15,1,1,1.0,1,0,0.15,1.0,
635,6173,495403620,9628223555,0.0,0,0,,,1,,,
636,6177,495403620,9628223555,0.0,0,0,,,1,,,
637,6198,495403620,9628223555,0.27,2,2,1.0,120,0,0.135,1.0,
638,6210,495403620,9628223555,1.06,4,3,1.0,41,0,0.265,0.75,浏览<点击
639,6229,495403620,9628223555,19.34,17,68,0.9333,503,0,1.1376,4.0,
640,6250,495403620,9628223555,0.0,0,0,,,1,,,
641,6261,495403620,9628223555,18916.77,16391,13078,0.8917,106,0,1.1541,0.7979,浏览<点击
642,6281,495403620,9628223555,0.0,0,0,,,1,,,
643,6294,495403620,9628223555,0.0,0,0,,,1,,,
644,6298,495403620,9628223555,1983.14,693,1366,0.7867,202,0,2.8617,1.9711,
645,6343,495403620,9628223555,0.0,0,0,,,1,,,
646,6360,495403620,9628223555,10735.93,5191,13273,0.6879,230,0,2.0682,2.5569,
647,6366,495403620,9628223555,8.41,9,8,1.0,32,0,0.9344,0.8889,浏览<点击
648,6372,495403620,9628223555,8.06,12,8,1.0,76,0,0.6717,0.6667,浏览<点击
649,6377,495403620,9628223555,20.2,24,370,0.08,761,0,0.8417,15.4167,
650,6383,495403620,9628223555,4.85,6,5,1.0,2,0,0.8083,0.8333,浏览<点击
651,6440,495403620,9628223555,2.62,3,3,1.0,453,0,0.8733,1.0,
652,6447,495403620,9628223555,0.0,0,0,,,1,,,
653,6451,495403620,9628223555,0.0,0,0,,,1,,,
654,6474,495403620,9628223555,120.04,56,136,0.5366,265,0,2.1436,2.4286,
655,6500,495403620,9628223555,116.38,82,350,0.4595,252,0,1.4193,4.2683,
656,6504,495403620,9628223555,36.72,26,52,0.7619,134,0,1.4123,2.0,
657,6538,495403620,9628223555,22.9,20,102,0.7222,345,0,1.145,5.1,
658,6542,495403620,9628223555,7.58,10,7,1.0,28,0,0.758,0.7,浏览<点击
659,6560,495403620,9628223555,4.72,2,4,0.5,527,0,2.36,2.0,
660,6574,495403620,9628223555,56.31,43,187,0.6216,267,0,1.3095,4.3488,
661,6617,495403620,9628223555,318.27,238,301,0.858,99,0,1.3373,1.2647,
662,6649,495403620,9628223555,0.0,0,0,,,1,,,
663,15,495817671,9630806627,0.0,0,0,,,1,,,
664,59,495817671,9630806627,0.0,0,0,,,1,,,
665,64,495817671,9630806627,6.47,13,10,1.0,25,0,0.4977,0.7692,浏览<点击
666,65,495817671,9630806627,0.0,0,0,,,1,,,
667,108,495817671,9630806627,2.28,2,3,0.5,6,0,1.14,1.5,
668,110,495817671,9630806627,2838.16,1511,3464,0.2866,448,0,1.8783,2.2925,
669,114,495817671,9630806627,5.49,6,6,1.0,64,0,0.915,1.0,
670,127,495817671,9630806627,0.0,0,0,,,1,,,
671,136,495817671,9630806627,20.16,35,42,0.7931,118,0,0.576,1.2,
672,155,495817671,9630806627,0.0,0,0,,,1,,,
673,216,495817671,9630806627,0.0,0,0,,,1,,,
674,221,495817671,9630806627,0.0,0,0,,,1,,,
675,231,495817671,9630806627,0.0,0,0,,,1,,,
676,235,495817671,9630806627,123.8,96,181,0.7952,196,0,1.2896,1.8854,
677,243,495817671,9630806627,12.22,11,60,0.3333,226,0,1.1109,5.4545,
678,292,495817671,9630806627,0.96,1,1,1.0,1,0,0.96,1.0,
679,299,495817671,9630806627,121.03,97,200,0.7143,231,0,1.2477,2.0619,
680,308,495817671,9630806627,83.0,85,147,0.7167,196,0,0.9765,1.7294,
681,314,495817671,9630806627,0.0,0,0,,,1,,,
682,316,495817671,9630806627,49.94,43,32,1.0,94,0,1.1614,0.7442,浏览<点击
683,348,495817671,9630806627,0.0,0,0,,,1,,,
684,353,495817671,9630806627,2953.6,2626,2546,0.8257,148,0,1.1248,0.9695,浏览<点击
685,370,495817671,9630806627,3.46,8,31,0.1429,236,0,0.4325,3.875,
686,381,495817671,9630806627,0.31,1,1,1.0,3,0,0.31,1.0,
687,391,495817671,9630806627,11.9,8,13,0.6667,245,0,1.4875,1.625,
688,393,495817671,9630806627,0.0,0,0,,,1,,,
689,417,495817671,9630806627,0.0,0,0,,,1,,,
690,441,495817671,9630806627,0.0,0,0,,,1,,,
691,444,495817671,9630806627,241.33,194,925,0.1414,551,0,1.244,4.768,
692,445,495817671,9630806627,8.59,8,9,0.8571,132,0,1.0738,1.125,
693,456,495817671,9630806627,26.44,31,39,0.7727,76,0,0.8529,1.2581,
694,505,495817671,9630806627,128.05,108,155,0.7722,100,0,1.1856,1.4352,
695,513,495817671,9630806627,0.0,0,0,,,1,,,
696,518,495817671,9630806627,1.57,3,11,0.5,156,0,0.5233,3.6667,
697,530,495817671,9630806627,74.08,84,140,0.8169,56,0,0.8819,1.6667,
698,533,495817671,9630806627,0.0,0,0,,,1,,,
699,546,495817671,9630806627,0.0,0,0,,,1,,,
700,560,495817671,9630806627,0.0,0,0,,,1,,,
701,561,495817671,9630806627,0.0,0,0,,,1,,,
702,567,495817671,9630806627,0.0,0,0,,,1,,,
703,584,495817671,9630806627,0.24,1,1,1.0,13,0,0.24,1.0,
704,617,495817671,9630806627,5.13,6,5,1.0,6,0,0.855,0.8333,浏览<点击
705,625,495817671,9630806627,0.0,0,0,,,1,,,
706,640,495817671,9630806627,0.0,0,0,,,1,,,
707,643,495817671,9630806627,0.0,0,0,,,1,,,
708,665,495817671,9630806627,0.0,0,0,,,1,,,
709,677,495817671,9630806627,1.39,1,1,1.0,120,0,1.39,1.0,
710,679,495817671,9630806627,200.65,252,174,0.925,85,0,0.7962,0.6905,浏览<点击
711,680,495817671,9630806627,0.0,0,0,,,1,,,
712,714,495817671,9630806627,5.76,12,7,1.0,39,0,0.48,0.5833,浏览<点击
713,735,495817671,9630806627,18.17,21,22,0.8333,87,0,0.8652,1.0476,
714,763,495817671,9630806627,0.0,0,0,,,1,,,
715,794,495817671,9630806627,0.0,0,0,,,1,,,
716,798,495817671,9630806627,0.89,2,2,1.0,98,0,0.445,1.0,
717,815,495817671,9630806627,2298.65,2510,2693,0.7592,154,0,0.9158,1.0729,
718,847,495817671,9630806627,19.53,16,39,0.5833,184,0,1.2206,2.4375,
719,848,495817671,9630806627,0.0,0,0,,,1,,,
720,858,495817671,9630806627,10.73,23,19,0.8824,85,0,0.4665,0.8261,浏览<点击
721,859,495817671,9630806627,0.0,0,0,,,1,,,
722,872,495817671,9630806627,0.0,0,0,,,1,,,
723,875,495817671,9630806627,47.51,29,95,0.72,311,0,1.6383,3.2759,
724,882,495817671,9630806627,0.0,0,0,,,1,,,
725,890,495817671,9630806627,56.98,132,47,0.9783,86,0,0.4317,0.3561,浏览<点击
726,965,495817671,9630806627,12.3,13,11,0.875,129,0,0.9462,0.8462,浏览<点击
727,966,495817671,9630806627,0.0,0,0,,,1,,,
728,976,495817671,9630806627,0.0,0,0,,,1,,,
729,1018,495817671,9630806627,0.15,1,0,0.0,0,0,0.15,0.0,浏览<点击
730,1040,495817671,9630806627,6.4,5,3,1.0,65,0,1.28,0.6,浏览<点击
731,1041,495817671,9630806627,2.11,4,4,1.0,90,0,0.5275,1.0,
732,1045,495817671,9630806627,0.0,0,0,,,1,,,
733,1056,495817671,9630806627,1.01,2,1,1.0,0,0,0.505,0.5,浏览<点击
734,1062,495817671,9630806627,0.0,0,0,,,1,,,
735,1089,495817671,9630806627,396.88,330,591,0.5259,419,0,1.2027,1.7909,
736,1090,495817671,9630806627,14.8,21,22,0.7778,84,0,0.7048,1.0476,
737,1092,495817671,9630806627,4.16,3,6,0.6667,251,0,1.3867,2.0,
738,1150,495817671,9630806627,33.45,50,47,0.9231,29,0,0.669,0.94,浏览<点击
739,1151,495817671,9630806627,0.0,0,0,,,1,,,
740,1152,495817671,9630806627,20.59,30,29,0.96,65,0,0.6863,0.9667,浏览<点击
741,1158,495817671,9630806627,0.0,0,0,,,1,,,
742,1164,495817671,9630806627,237.11,200,369,0.5455,335,0,1.1856,1.845,
743,1185,495817671,9630806627,3.09,4,6,0.75,24,0,0.7725,1.5,
744,1195,495817671,9630806627,0.0,0,0,,,1,,,
745,1207,495817671,9630806627,115.45,90,134,0.8289,91,0,1.2828,1.4889,
746,1225,495817671,9630806627,0.0,0,0,,,1,,,
747,1229,495817671,9630806627,0.0,0,0,,,1,,,
